epoch,train_loss,val_loss
1,0.6797950057555359,0.6797557561922607
2,0.6796166882084013,0.6795618474488777
3,0.6794374413044174,0.6793860906961215
4,0.6793179546269583,0.6792742729936045
5,0.6792398403194582,0.679203593016535
6,0.6791867617787747,0.6791567955597568
7,0.6791491346475456,0.6791242941966035
8,0.6791214796387149,0.679100807043402
9,0.6791005491234572,0.6790832910685352
10,0.6790843247821821,0.679069896176379
11,0.679071494958908,0.6790594400052731
12,0.6790611743691606,0.6790511346740309
13,0.6790527468400821,0.6790444372815764
14,0.6790457726724903,0.6790389636186905
15,0.6790399315435515,0.6790344358233281
16,0.6790349859335169,0.6790306492526531
17,0.6790307569555668,0.6790274507872469
18,0.6790271079772415,0.6790247242316727
19,0.6790239332925367,0.6790223802741508
20,0.6790211501508494,0.6790203494558593
21,0.6790186930623938,0.6790185771703717
22,0.679016509673655,0.6790170200569758
23,0.6790145577416415,0.6790156433656585
24,0.6790128028874222,0.679014419008694
